Product_Name,Ratings,Reviews,Product_ID,Sentiment_Score,Sentiment
"MOTOROLA Edge 50 (Peach Fuzz, 256 GB)",4.0, crisp display camera performed way better expectation battery lasted day decent usage face detection fingerprint sensor work swiftly con heating issue camera kept  beyond camera app take  start feel like phone hung inbuilt gallery app use google photo app,1,0.765,Positive
"MOTOROLA Edge 50 (Peach Fuzz, 256 GB)",4.0,one day review  awesome design awesome camera awesome user interface fast charging con phone heating battery falling easier,1,0.9382,Positive
"MOTOROLA Edge 50 (Peach Fuzz, 256 GB)",5.0,could recommend best price range clean user interface great curve display comfortable premium light design fast charging might heat dot turn and fast charging option dolly atoms top notch beating phone camera color accurate must try horizon lock attached photo example rarely game perfect phone yes even play game smoothly quite high setting battery drain less good fast charging quiet sturdy phone indeed must buy phone,1,0.9602,Positive
"MOTOROLA Edge 50 (Peach Fuzz, 256 GB)",4.0,camera best mobile phone heating much,1,0.6369,Positive
"MOTOROLA Edge 50 (Peach Fuzz, 256 GB)",5.0,phone come ram boost get turning get hand make run smoother heating issue resolve,1,0.8176,Positive
"MOTOROLA Edge 50 (Peach Fuzz, 256 GB)",5.0,nice product,1,0.4215,Positive
"MOTOROLA Edge 50 (Peach Fuzz, 256 GB)",4.0,product overall nice con heating issue lag regular camera lag selfie camera upto mark  design awesome display brilliant color light weight userfriendly interface back leather premium camera great speaker nice overall worth durable built recommending buy,1,0.9403,Positive
"MOTOROLA Edge 50 (Peach Fuzz, 256 GB)",4.0,nice phone look beautiful,1,0.7717,Positive
"MOTOROLA Edge 50 (Peach Fuzz, 256 GB)",5.0,good value money,1,0.6486,Positive
"MOTOROLA Edge 50 (Peach Fuzz, 256 GB)",4.0,apps take time open especially camera overall performance good,1,0.4404,Positive
"MOTOROLA Edge 50 (Peach Fuzz, 256 GB)",3.0,review day use con heating issue observed full charging last hour continuous usage  con look good,1,0.4404,Positive
"MOTOROLA Edge 50 (Peach Fuzz, 256 GB)",5.0,good product,1,0.4404,Positive
"MOTOROLA Edge 50 (Peach Fuzz, 256 GB)",3.0,usage day feel mobile worthy price paid normal daily routine usage battery last hour approx phone heating issue observed normal usage motorola need look better optimization do not feel like  previous motorola  snapdragon giving efficient battery edge  decent premium look build quality nice display good user interface clean camera good con battery draining fast processor bit slow app loading also take time heating issue normal usage heavy user heavy streaming user will not recommend mobile go another mobile,1,0.9622,Positive
"MOTOROLA Edge 50 (Peach Fuzz, 256 GB)",4.0,update camera opening issue resolved camera open quickly,1,0.1779,Positive
"MOTOROLA Edge 50 (Peach Fuzz, 256 GB)",4.0,nice camera display but charging late,1,0.2263,Positive
"MOTOROLA Edge 50 (Peach Fuzz, 256 GB)",5.0,liked worth,1,0.5719,Positive
"MOTOROLA Edge 50 (Peach Fuzz, 256 GB)",5.0,camera app take long load switch front back apart everything great charging good expected heat normal fast charging,1,0.7906,Positive
"MOTOROLA Edge 50 (Peach Fuzz, 256 GB)",5.0,good super budget phone good,1,0.8658,Positive
"MOTOROLA Edge 50 (Peach Fuzz, 256 GB)",5.0,performance awesome display battery camera performance little bit camera lag opening slightly heating charge may fixed motorola software update really worth buying mobile price recommend buy product without doubt,1,0.8302,Positive
"MOTOROLA Edge 50 (Peach Fuzz, 256 GB)",4.0,enable smart app launch camera launch quickly,1,0.4019,Positive
"MOTOROLA Edge 50 (Peach Fuzz, 256 GB)",5.0,amazing phone better camera edge fusion capture realistic photo liked performance also good player call of duty canzone maximum setting phone heat charging avoid heating turn smart rapid charging charge phone cover phone stand heat,1,0.9169,Positive
"MOTOROLA Edge 50 (Peach Fuzz, 256 GB)",5.0,awesome product motorola do not think grab,1,0.6249,Positive
"MOTOROLA Edge 50 (Peach Fuzz, 256 GB)",5.0,nice phone,1,0.4215,Positive
